accession,correct,genus,strain_name,location,virus_name,isolation_source,host,isolation_date,lab_culture,wastewater_sewage,standardized_host,host_category,standardized_location,zoonotic,processing_method,gemini_annotated,is_segmented,segment_label,manual_update
MK345463.1,TRUE,Orthohepadnavirus,CIV-304,Cote d'Ivoire,Musk shrew hepatitis B virus,,non-human,2004,FALSE,FALSE,Crocidura olivieri,Mammal,Cote d'Ivoire,TRUE,ai,TRUE,FALSE,,
KF214742.1,TRUE,Penstyldensovirus,Sheyang,China,Decapod penstyldensovirus 1,,non-human,May-2011,FALSE,FALSE,Litopenaeus vannamei,Crustacean,,FALSE,ai,TRUE,FALSE,,
AM117397.1,TRUE,Orthohepadnavirus,CHIMP_ED,Gabon:Makokou,Hepatitis B virus,,non-human,,FALSE,FALSE,Pan troglodites verus,Mammal,"Makokou, Gabon",TRUE,ai,TRUE,FALSE,,
U21055.1,TRUE,Orthoflavivirus,French neurotropic virus,,Yellow fever virus,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
OK318548.1,TRUE,Aphthovirus,O/VIT/BK4-P5/2017_pro,Viet Nam: Bak Kan,Foot-and-mouth disease virus O,,non-human,01-Nov-2017,FALSE,FALSE,Bubalus bubalis,Mammal,"Bak Kan, Viet Nam",TRUE,ai,TRUE,FALSE,,
KJ438760.1,TRUE,Orthoflavivirus,V10,Germany,Usutu virus,,non-human,2011,FALSE,FALSE,Turdus merula,Avian,Germany,TRUE,ai,TRUE,FALSE,,
NC_003391.1,TRUE,Orthopoxvirus,M-96,Kazakhstan: Oblast,Camelpox virus,,non-human,,FALSE,FALSE,Camelus dromedarius,Mammal,"Null, Kazakhstan",TRUE,ai,TRUE,FALSE,,
KX547249.1,TRUE,Orthoflavivirus,WNV-1/Quiscalus quiscula/USA/04002728/2004,"USA: Queens Co., NY",West Nile virus,,non-human,15-Sep-2004,TRUE,FALSE,Quiscalus quiscula,Avian,"Queens Co., NY, USA",TRUE,ai,TRUE,FALSE,,
MN095533.1,TRUE,Mogiana tick virus,JMTV/Pteropus lylei/Cambodia,Cambodia,Jingmen tick virus,,non-human,,FALSE,FALSE,Pteropus lylei,Mammal,Cambodia,TRUE,ai,TRUE,TRUE,3,
KR868724.1,TRUE,Mamastrovirus,DcAstV-274,United Arab Emirates,Dromedary astrovirus,,non-human,04-Apr-2013,FALSE,FALSE,Camelus dromedarius,Mammal,United Arab Emirates,TRUE,ai,TRUE,FALSE,,
MT157326.1,TRUE,Cytomegalovirus,68-1.2,USA,Rhesus cytomegalovirus strain 68-1.2,,non-human,01-Jan-2008,FALSE,FALSE,Macaca mulatta,Mammal,USA,TRUE,ai,TRUE,FALSE,,
NC_008175.1,TRUE,Mimoreovirus,,Netherlands,Micromonas pusilla reovirus,,non-human,,FALSE,FALSE,Micromonas pusilla,Other,"Unknown, Netherlands",FALSE,ai,TRUE,TRUE,5,
NC_076490.1,TRUE,Betapaprhavirus,OKIAV34,"Germany: Lower Saxony, Hoehbeck - Pevestorf - Station",Lepidopteran rhabdo-related virus 34,,non-human,27-Aug-2011,FALSE,FALSE,Triodia sylvina,Insect,"Lower Saxony, Germany",FALSE,ai,TRUE,FALSE,,
MF143294.2,TRUE,Lyssavirus,NY.2003.7809,"USA: Ridgeway, Orleans, NY",Lyssavirus rabies,,non-human,24-Nov-2003,FALSE,FALSE,,Mammal,"Ridgeway, USA",TRUE,ai,TRUE,FALSE,,
MK572872.1,TRUE,Aviadenovirus,12-11324,Austria,Fowl aviadenovirus D,,non-human,2012,FALSE,FALSE,Gallus gallus,Avian,,FALSE,ai,TRUE,FALSE,,
NC_016962.1,TRUE,Alphavirus,,,Bebaru virus,,non-human,,FALSE,FALSE,,,,TRUE,ai,TRUE,FALSE,,
NC_034165.1,TRUE,Aquareovirus,GSH1,USA,Fall chinook aquareovirus,,non-human,21-Oct-2014,FALSE,FALSE,Oncorhynchus tschawytscha,Fish,USA,FALSE,ai,TRUE,TRUE,10,
LR743442.1,TRUE,Orthoflavivirus,ED-I-87_19,,West Nile virus,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
AY160687.1,TRUE,Fijivirus,,,Rice black streaked dwarf virus,,non-human,,FALSE,FALSE,Plant,Plant,,FALSE,ai,TRUE,TRUE,4,
DQ997179.1,TRUE,Alphainfluenzavirus,A/chicken/Jiangsu/cz1/2002,China,Influenza A virus (A/chicken/Jiangsu/cz1/2002(H5N1)),,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,"Jiangsu, China",TRUE,ai,TRUE,TRUE,7,
MF161428.1,TRUE,Cypovirus,,Brazil,Thyrinteina arnobia cypovirus 14,,non-human,2011,FALSE,FALSE,Thyrinteina arnobia,Insect,Brazil,FALSE,ai,TRUE,TRUE,7,
KY366322.2,TRUE,Cytorhabdovirus,Montecarlo,Argentina,Yerba mate chlorosis-associated virus,,non-human,19-Apr-2014,FALSE,FALSE,Ilex paraguariensis,Plant,Argentina,FALSE,ai,TRUE,FALSE,,
KC693023.1,TRUE,Mastadenovirus,BaAdV-3,USA,Simian mastadenovirus C,,non-human,01-Mar-1997,FALSE,FALSE,Papio hamadryas anubis,Mammal,USA,TRUE,ai,TRUE,FALSE,,
HM488197.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4377/2005,USA: Illinois,West Nile virus,,non-human,2005,FALSE,FALSE,Corvus brachyrhynchos,Avian,"Illinois, USA",TRUE,ai,TRUE,FALSE,,
MW835349.1,TRUE,Alphavirus,SW94245,"Australia: Western Australia, Capel",Barmah Forest virus,,non-human,06-Nov-2012,FALSE,FALSE,Ochlerotatus camptorhynchus,Insect,"Capel, Australia",TRUE,ai,TRUE,FALSE,,
MT134277.1,TRUE,Orthohepadnavirus,donkey15,Germany,Equine hepatitis B virus,,non-human,2008-04-05,FALSE,FALSE,Equus asinus,Mammal,Germany,FALSE,ai,TRUE,FALSE,,
NC_003757.1,TRUE,Oryzavirus,Thailand,,Rice ragged stunt virus,,non-human,,FALSE,FALSE,,Plant,"null, null",FALSE,ai,TRUE,TRUE,9,
KY688136.1,TRUE,Lyssavirus,RV628,United Kingdom,European bat lyssavirus 2,,non-human,1996,FALSE,FALSE,Myotis daubentonii,Mammal,United Kingdom,TRUE,ai,TRUE,FALSE,,
NC_030409.1,TRUE,Aquareovirus,San Marcos 2003,USA,Etheostoma fonticola aquareovirus,,non-human,Mar-2003,FALSE,FALSE,Etheostoma fonticola,Fish,USA,FALSE,ai,TRUE,TRUE,9,
MK829678.1,TRUE,Novirhabdovirus,VHSV/O.mykiss/I/BZ/301/Jun00,Italy,Viral hemorrhagic septicemia virus,,non-human,20-Jun-2000,FALSE,FALSE,Oncorhynchus mykiss,Fish,"null, Italy",FALSE,ai,TRUE,FALSE,,
ON059888.1,TRUE,Rotavirus,P224T/pangolin/2018,,Rotavirus A,,non-human,2018,FALSE,FALSE,Manis javanica,Mammal,", ",TRUE,ai,TRUE,TRUE,8,
KY860589.1,TRUE,Lyssavirus,RV2977,Turkey,Lyssavirus rabies,,non-human,2006,FALSE,FALSE,Vulpes vulpes,Mammal,Turkey,TRUE,ai,TRUE,FALSE,,
ON986476.1,TRUE,Lyssavirus,17_3907,"USA: NewLondon,CT",Lyssavirus rabies,,non-human,31-Jul-2017,FALSE,FALSE,Mephitidae,Mammal,"NewLondon, USA",TRUE,ai,TRUE,FALSE,,
JX236040.3,TRUE,Orthoflavivirus,IPDIA,,Ntaya virus,,non-human,1966,TRUE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
MK540745.1,TRUE,Lyssavirus,NY.2011.0017R,USA: New York,Lyssavirus rabies,,non-human,2011,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
AF389118.1,TRUE,Alphainfluenzavirus,A/Puerto Rico/8/34/Mount Sinai,,Influenza A virus (A/Puerto Rico/8/34/Mount Sinai(H1N1)),,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,TRUE,4,
KF183915.1,TRUE,Limnipivirus,FHMPV-1,USA,limnipivirus C1,,non-human,2011,FALSE,FALSE,Pimephales promelas,Fish,USA,FALSE,ai,TRUE,FALSE,,
MF143193.2,TRUE,Lyssavirus,ME.2013.0034,"USA: Dixmont, Penobscot, ME",Lyssavirus rabies,,non-human,13-Feb-2013,FALSE,FALSE,Procyon lotor,Mammal,"Dixmont, USA",TRUE,ai,TRUE,FALSE,,
AC_000190.1,TRUE,Mastadenovirus,,,Tree shrew adenovirus 1,,non-human,,FALSE,FALSE,Plantae,Plant,,FALSE,ai,TRUE,FALSE,,
AY179509.1,TRUE,Mamastrovirus,,,Mamastrovirus 10,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
DQ997163.1,TRUE,Alphainfluenzavirus,A/duck/Hubei/wp/2003,China,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),,non-human,,FALSE,FALSE,Anas platyrhynchos domesticus,Avian,,TRUE,ai,TRUE,TRUE,4,
MF143283.2,TRUE,Lyssavirus,VT.2007.0297,"USA: Stowe, Lamoille, VT",Lyssavirus rabies,,non-human,04-Jan-2007,FALSE,FALSE,Procyon lotor,Mammal,"Stowe, USA",TRUE,ai,TRUE,FALSE,,
KT003716.1,TRUE,Aphthovirus,Nari/UVAS-Pak/2005,Pakistan,Foot-and-mouth disease virus O,,non-human,19-Dec-2005,FALSE,FALSE,Bubalus bubalis,Mammal,Pakistan,TRUE,ai,TRUE,FALSE,,
KX000187.1,TRUE,Alphavirus,EEEV/Culiseta melanura/USA/ARB06MS370163/2006,"USA: Oswego, NY",Eastern equine encephalitis virus,,non-human,15-Aug-2006,TRUE,FALSE,Culiseta melanura,Insect,"Oswego, USA",TRUE,ai,TRUE,FALSE,,
NC_078601.1,TRUE,Thogotovirus,THOV/Boophilus sp./Thailand,Thailand,Thailand tick thogotovirus,,non-human,Nov-2012,FALSE,FALSE,Boophilus sp.,Insect,Thailand,TRUE,ai,TRUE,TRUE,NP,
KR862327.1,TRUE,Pegivirus,VSAH1001,South Africa,GB virus C,,non-human,2010,FALSE,FALSE,Chlorocebus,Mammal,South Africa,TRUE,ai,TRUE,FALSE,,
KX547169.1,TRUE,Orthoflavivirus,WNV-1/Culiseta sp./USA/15370625/2015,"USA: Oswego Co., NY",West Nile virus,,non-human,02-Sep-2015,TRUE,FALSE,Culiseta,Insect,"Oswego, USA",TRUE,ai,TRUE,FALSE,,
MN506286.1,TRUE,Orthoflavivirus,VL 3005,Brazil: Valenca-RJ,Yellow fever virus,,non-human,24-Jan-2018,FALSE,FALSE,Hg. janthinomys,Mammal,"Valenca-RJ, Brazil",TRUE,ai,TRUE,FALSE,,
ON986481.1,TRUE,Lyssavirus,19_4691,"USA: NewHaven,CT",Lyssavirus rabies,,non-human,03-Dec-2019,FALSE,FALSE,Mephitis mephitis,Mammal,"New Haven, USA",TRUE,ai,TRUE,FALSE,,
MN689034.1,TRUE,Alphavirus,SW31286,"Australia: Western Australia, Mandurah",Barmah Forest virus,,non-human,05-Aug-1993,FALSE,FALSE,Ochlerotatus camptorhynchus,Insect,"Mandurah, Australia",TRUE,ai,TRUE,FALSE,,
NC_043373.1,TRUE,Idnoreovirus,,,Diadromus pulchellus idnoreovirus 1,,non-human,,FALSE,FALSE,Diadromus pulchellus,Insect,,FALSE,ai,TRUE,TRUE,,
OL606757.1,TRUE,Dichorhavirus,Smilax,USA,Dichorhavirus orchidaceae,,non-human,Oct-2020,FALSE,FALSE,Smilax auriculata,Plant,USA,FALSE,ai,TRUE,TRUE,RNA 2,
NC_002566.1,TRUE,Cypovirus,,,Trichoplusia ni cypovirus 15,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,TRUE,RNA 11,
JN381864.1,FALSE,Orthoflavivirus,SH3,,Japanese encephalitis virus,,non-human,,FALSE,FALSE,,Other," , ",TRUE,ai,TRUE,FALSE,,
MH374162.1,TRUE,Novirhabdovirus,BJSY,,Infectious hematopoietic necrosis virus,,non-human,03-Feb-2018,FALSE,FALSE,Oncorhynchus mykiss,Fish,,FALSE,ai,TRUE,FALSE,,
MN234001.1,TRUE,Lyssavirus,NU.2015.0194RFX,Canada: Nunavut,Lyssavirus rabies,,non-human,2015,FALSE,FALSE,Vulpes vulpes,Mammal,"Nunavut, Canada",TRUE,ai,TRUE,FALSE,,
KU128383.1,TRUE,Mycoreovirus,SX10,China,Sclerotinia sclerotiorum mycoreovirus 4,,non-human,20-May-2010,FALSE,FALSE,Sclerotinia sclerotiorum,Fungi,China,FALSE,ai,TRUE,TRUE,9,
PP945018.1,TRUE,Flaviviridae,China-NX085,China:Ningxia,Flaviviridae sp.,,non-human,2023,FALSE,FALSE,Dermacentor silvarum,Other,"Ningxia, China",TRUE,ai,TRUE,FALSE,,
NC_025387.1,TRUE,Scophrhavirus,,China,Scophthalmus maximus rhabdovirus,,non-human,,FALSE,FALSE,Scophthalmus maximus,Fish,,FALSE,ai,TRUE,FALSE,,
LR743453.1,TRUE,Orthoflavivirus,ED-I-94_19,,West Nile virus,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
NC_038660.1,TRUE,Orthoreovirus,,Malaysia,Pulau reovirus,,non-human,,FALSE,FALSE,Pteropus hypomelanus,Mammal,Malaysia,TRUE,ai,TRUE,TRUE,L2,
KX891226.1,TRUE,Aquareovirus,GSH1,USA,Fall chinook aquareovirus,,non-human,21-Oct-2014,FALSE,FALSE,,Fish,,FALSE,ai,TRUE,TRUE,11,
MH718283.1,TRUE,Aquareovirus,JX01,China,Grass carp reovirus,,non-human,2011,TRUE,FALSE,Ctenopharyngodon idellus,Fish,China,FALSE,ai,TRUE,TRUE,7,
ON059887.1,TRUE,Rotavirus,P030T/pangolin/2018,,Rotavirus A,,non-human,2018,FALSE,FALSE,Manis,Mammal,,TRUE,ai,TRUE,TRUE,8,
OL704212.1,TRUE,Orthoflavivirus,242,"USA: Cape Elizabeth, ME",Powassan virus,,non-human,13-Jun-2016,FALSE,FALSE,Ixodes scapularis,Insect,"Cape Elizabeth, USA",TRUE,ai,TRUE,FALSE,,
MF143303.2,TRUE,Lyssavirus,NY.2004.4875,"USA: Kendall, Orleans, NY",Lyssavirus rabies,,non-human,13-Aug-2004,FALSE,FALSE,Procyon lotor,Mammal,"Kendall, Orleans, NY, USA",TRUE,ai,TRUE,FALSE,,
NC_016447.1,TRUE,Cytomegalovirus,S34E,,Aotine betaherpesvirus 1,,non-human,,TRUE,FALSE,Aotus trivirgatus,Mammal,"Unknown, Unknown",FALSE,ai,TRUE,FALSE,,
NC_007163.1,TRUE,Fijivirus,,,Fiji disease virus,,non-human,,FALSE,FALSE,Saccharum spp.,Plant,,FALSE,ai,TRUE,TRUE,7,
MW721992.1,TRUE,Mogiana tick virus,JTV/HAHH9,China,Jingmen tick virus,,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,China,TRUE,ai,TRUE,TRUE,2,
MK944090.1,TRUE,Lyssavirus,QA011,Australia: South East Queensland,Lyssavirus australis,,non-human,2014,FALSE,FALSE,Pteropus scapulatus,Mammal,"South East Queensland, Australia",TRUE,ai,TRUE,FALSE,,
EF205161.1,TRUE,Alphainfluenzavirus,A/chicken/Suzdalka/06/05,,Influenza A virus (A/chicken/Suzdalka/06/05(H5N1)),,non-human,,FALSE,FALSE,Gallus gallus,Avian,,TRUE,ai,TRUE,TRUE,7,
MK336431.1,TRUE,Orthopoxvirus,KVAC103,South Korea,Vaccinia virus,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
ON024131.1,TRUE,Protoparvovirus,PPrV/P230T/pangolin/2018,China,Pangolin protoparvovirus,,non-human,2018,FALSE,FALSE,Manis,Mammal,China,TRUE,ai,TRUE,FALSE,,
KT899746.1,TRUE,Protoparvovirus,MEV-L,China: Liaoning,Mink enteritis virus,,non-human,2010,FALSE,FALSE,Neovison vison,Mammal,"Liaoning, China",TRUE,ai,TRUE,FALSE,,
KU128386.1,TRUE,Mycoreovirus,SX10,China,Sclerotinia sclerotiorum mycoreovirus 4,,non-human,20-May-2010,FALSE,FALSE,Sclerotinia sclerotiorum,Fungi,China,FALSE,ai,TRUE,TRUE,12,
KC344516.1,TRUE,Alphavirus,VEEV/Equus ferus caballus/VEN/Beck-Wycoff/1938/IAB,Venezuela: Aragua St.,Venezuelan equine encephalitis virus,,non-human,1938,FALSE,FALSE,Equus ferus caballus,Mammal,"Aragua St., Venezuela",TRUE,ai,TRUE,FALSE,,
NC_007162.1,TRUE,Fijivirus,,,Fiji disease virus,,non-human,,FALSE,FALSE,,,,FALSE,ai,TRUE,TRUE,10,
OM542199.1,TRUE,Lyssavirus,2266140421L_POL,Poland: Mazovia,Lyssavirus rabies,,non-human,2021,FALSE,FALSE,Vulpes vulpes,Mammal,"Mazovia, Poland",TRUE,ai,TRUE,FALSE,,
KU749309.1,TRUE,Orthopoxvirus,85A,USA,Raccoonpox virus,,non-human,1964,FALSE,FALSE,Procyon lotor,Mammal,USA,TRUE,ai,TRUE,FALSE,,
KF015276.1,TRUE,Scindoambidensovirus,AdEu07,Germany,Acheta domestica densovirus,,non-human,15-May-2007,FALSE,FALSE,Acheta domesticus,Insect,Germany,FALSE,ai,TRUE,FALSE,,
OQ363763.1,TRUE,Kobuvirus,GX/B45M0208/2019,China,Kobuvirus aichi,,non-human,Mar-2019,FALSE,FALSE,Rhizomys pruinosus,Mammal,,FALSE,ai,TRUE,FALSE,,
ON059869.1,TRUE,Rotavirus,P029T/pangolin/2018,,Rotavirus A,,non-human,2018,FALSE,FALSE,Manis,Mammal,"Unknown, Unknown",TRUE,ai,TRUE,TRUE,5,
MK540763.1,TRUE,Lyssavirus,NY.2011.1041R,USA: New York,Lyssavirus rabies,,non-human,2011,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
DQ997277.1,TRUE,Alphainfluenzavirus,A/goose/Jilin/hb/2003,China,Influenza A virus (A/goose/Jilin/hb/2003(H5N1)),,non-human,,FALSE,FALSE,Anser anser,Avian,China,TRUE,ai,TRUE,TRUE,6,
MK944085.1,TRUE,Lyssavirus,QA004,Australia: South East Queensland,Lyssavirus australis,,non-human,2013,FALSE,FALSE,Pteropus alecto,Mammal,"South East Queensland, Australia",TRUE,ai,TRUE,FALSE,,
MW922438.1,TRUE,Varicosavirus,IP,China,morning glory varicosavirus,,non-human,Aug-2019,FALSE,FALSE,Ipomoea purpurea,Plant,China,FALSE,ai,TRUE,TRUE,RNA1,
KX000082.1,TRUE,Alphavirus,EEEV/Odocoileus virginianus/USA/RAB09-6200/2009,"USA: Oswego, NY",Eastern equine encephalitis virus,,non-human,23-Sep-2009,TRUE,FALSE,Odocoileus virginianus,Mammal,"Oswego, USA",TRUE,ai,TRUE,FALSE,,
MG457483.1,TRUE,Orthohepadnavirus,Neixiang-Rpe-48,China,Bat Hepatitis B virus,,non-human,2015,FALSE,FALSE,Rhinolophus pearsonii,Mammal,"Neixiang, China",TRUE,ai,TRUE,FALSE,,
LR743449.1,FALSE,Orthoflavivirus,ED-I-163_19,,West Nile virus,,human,,FALSE,FALSE,Aedes,Insect,,TRUE,ai,TRUE,FALSE,,
KX547178.1,TRUE,Orthoflavivirus,WNV-1/Culiseta sp./USA/34030256/2003,"USA: Suffolk Co., NY",West Nile virus,,non-human,13-Aug-2003,TRUE,FALSE,Culiseta sp.,Insect,"Suffolk Co., NY, USA",TRUE,ai,TRUE,FALSE,,
NC_029917.1,TRUE,Orthoreovirus,2511,South Africa,Mahlapitsi orthoreovirus,,non-human,,FALSE,FALSE,Eucampsipoda africana,Insect,South Africa,FALSE,ai,TRUE,TRUE,L1,
MN794939.1,TRUE,Orthoflavivirus,BNI-2432,Germany,West Nile virus,,non-human,2019,FALSE,FALSE,Prunella modularis,Avian,Germany,TRUE,ai,TRUE,FALSE,,
HQ595343.1,TRUE,Picornaviridae,SK17F,Hong Kong,Bat picornavirus 2,,non-human,01-Sep-2005,FALSE,FALSE,Miniopterus magnater,Mammal,Hong Kong,FALSE,ai,TRUE,FALSE,,
OM471620.1,TRUE,Aphthovirus,Asia1/PAK/ICT/178-3/2012_pro,Pakistan: Islamabad Capital Territory,Foot-and-mouth disease virus Asia 1,,non-human,09-Jul-2012,FALSE,FALSE,Bubalus bubalis,Mammal,"Islamabad, Pakistan",TRUE,ai,TRUE,FALSE,,
KP861981.1,TRUE,Dyoomikronpapillomavirus,AgPV1_PPV05_SP,Brazil,Alouatta guariba papillomavirus 1,,non-human,25-Feb-2014,FALSE,FALSE,Alouatta guariba clamitans,Mammal,"Unknown, Brazil",FALSE,ai,TRUE,FALSE,,
MF143242.2,TRUE,Lyssavirus,NB.2015.0201,"Canada: Burnt Hill, Charlotte, NB",Lyssavirus rabies,,non-human,18-Mar-2015,FALSE,FALSE,Procyon lotor,Mammal,"Burnt Hill, Canada",TRUE,ai,TRUE,FALSE,,
OR496432.1,TRUE,Orthomyxoviridae,Bonghwa,South Korea: Bonghwa,Varroa orthomyxovirus-1,,non-human,27-May-2023,FALSE,FALSE,Apis mellifera,Insect,"Bonghwa, South Korea",FALSE,ai,TRUE,TRUE,4,
EF027135.1,FALSE,Alphavirus,IND-06-KA15,India,Chikungunya virus,,non-human,,FALSE,FALSE,,,India,TRUE,ai,TRUE,FALSE,,
LN713613.1,TRUE,Lyssavirus,sadBernO_2_var02,,Lyssavirus rabies,,non-human,,FALSE,FALSE,Unknown,Other,Unknown,TRUE,ai,TRUE,FALSE,,
MK944089.1,TRUE,Lyssavirus,QA009,Australia: South East Queensland,Lyssavirus australis,,non-human,2014,FALSE,FALSE,Pteropus alecto,Mammal,"South East Queensland, Australia",TRUE,ai,TRUE,FALSE,,
EU329188.1,TRUE,Alphainfluenzavirus,A/wild duck/Hunan/211/2005,China,Influenza A virus (A/wild duck/Hunan/211/2005(H5N1)),,non-human,,FALSE,FALSE,Anas platyrhynchos,Avian,"Hunan, China",TRUE,ai,TRUE,TRUE,2,
HM488184.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4346/2002,USA: Illinois,West Nile virus,,non-human,2002,FALSE,FALSE,Cyanocitta cristata,Avian,"Illinois, USA",TRUE,ai,TRUE,FALSE,,
KR559496.1,FALSE,Alphavirus,WHCHK27,Guyana,Chikungunya virus,,non-human,Jul-2014,FALSE,FALSE,Unknown,Other,"Unknown, Guyana",TRUE,ai,TRUE,FALSE,,
LN713602.1,TRUE,Lyssavirus,sadBatch806_5_var01,,Lyssavirus rabies,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
MW260137.1,TRUE,Orthoreovirus,PRV-1 NOR-2018/SF-V4105,Norway,Piscine orthoreovirus,,non-human,2018,FALSE,FALSE,Salmo salar,Fish,Norway,FALSE,ai,TRUE,TRUE,L3,
MK981554.1,TRUE,Orthohepadnavirus,,Israel,Domestic donkey hepatitis B virus,,non-human,2014,FALSE,FALSE,Equus asinus,Mammal,"Unknown, Israel",TRUE,ai,TRUE,FALSE,,
AC_000004.1,TRUE,Atadenovirus,,,Duck atadenovirus A,,non-human,,FALSE,FALSE,,Avian,,FALSE,ai,TRUE,FALSE,,
MK540660.1,TRUE,Lyssavirus,NY.1990.1924R,USA: New York,Lyssavirus rabies,,non-human,1990,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
LN713639.1,TRUE,Lyssavirus,sadLysvulpen0609_3_var01,,Lyssavirus rabies,,non-human,,FALSE,FALSE,Unknown,Other,"Unknown, Unknown",TRUE,ai,TRUE,FALSE,,
AY050488.1,TRUE,Fijivirus,zhjw,,Rice black streaked dwarf virus,,non-human,,FALSE,FALSE,plant,Plant," , ",FALSE,ai,TRUE,TRUE,10,
KX000104.1,TRUE,Alphavirus,EEEV/Culiseta melanura/USA/ARB06MS370168/2006,"USA: Oswego, NY",Eastern equine encephalitis virus,,non-human,19-Sep-2006,TRUE,FALSE,Culiseta melanura,Insect,"Oswego, USA",TRUE,ai,TRUE,FALSE,,
JX174438.1,TRUE,Deltapapillomavirus,QH-2,China: Qinghai-Tibetan Plateau,Bos grunniens papillomavirus 1,,non-human,Jun-2011,FALSE,FALSE,Bos grunniens,Mammal,"Qinghai-Tibetan Plateau, China",TRUE,ai,TRUE,FALSE,,
MK782991.1,TRUE,Novirhabdovirus,TAVgr11-19,USA: Lake Michigan,Viral hemorrhagic septicemia virus,,non-human,2011,FALSE,FALSE,Perca flavescens,Fish,USA,TRUE,ai,TRUE,FALSE,,
NC_078609.1,TRUE,Sardinovirus,POMV14-01514,"Australia: Huon, Southern Tasmania",Pilchard orthomyxovirus,,non-human,2014,FALSE,FALSE,Salmo salar,Fish,"Huon, Australia",FALSE,ai,TRUE,TRUE,8,
GU734660.1,TRUE,Alphanucleorhabdovirus,SYDV,USA,Potato yellow dwarf virus,,non-human,,FALSE,FALSE,,Plant,USA,FALSE,ai,TRUE,FALSE,,
MF143289.2,TRUE,Lyssavirus,VT.2009.0370,"USA: Stowe, Lamoille, VT",Lyssavirus rabies,,non-human,17-Mar-2009,FALSE,FALSE,Procyon lotor,Mammal,"Stowe, USA",TRUE,ai,TRUE,FALSE,,
OX442280.1,TRUE,Orthoflavivirus,ED-I-245-20,,West Nile virus,,non-human,,FALSE,FALSE,Aedes,Insect,"unknown, unknown",TRUE,ai,TRUE,FALSE,,
HM488177.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4336/2002,USA: Illinois,West Nile virus,,non-human,2002,FALSE,FALSE,Corvus brachyrhynchos,Avian,"Illinois, USA",TRUE,ai,TRUE,FALSE,,
NC_006152.1,FALSE,Dependoparvovirus,,,adeno-associated virus 5,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
KM594032.1,TRUE,Lyssavirus,IP 497/10,Brazil,Lyssavirus rabies,,non-human,2010,FALSE,FALSE,Myotis nigricans,Mammal,"Unknown, Brazil",TRUE,ai,TRUE,FALSE,,
NC_003746.1,TRUE,Alphanucleorhabdovirus,,,rice transitory yellowing virus,,non-human,,FALSE,FALSE,Unknown,Plant,", ",FALSE,ai,TRUE,FALSE,,
MN643092.1,TRUE,Orthoflavivirus,RJ139,Brazil: Ilha Grande-RJ,Yellow fever virus,,non-human,07-Feb-2018,FALSE,FALSE,Alouatta guariba,Mammal,"Ilha Grande-RJ, Brazil",TRUE,ai,TRUE,FALSE,,
LC426686.1,TRUE,Polyomaviridae,PyVA-FN01C,China,Rhinolophus affinis polyomavirus 3,,non-human,2016,FALSE,FALSE,Rhinolophus affinis,Mammal,"Unknown, China",TRUE,ai,TRUE,FALSE,,
AY672646.1,TRUE,Gammapolyomavirus,,China,Gammapolyomavirus avis,,non-human,,FALSE,FALSE,Melopsittacus undulatus,Avian,,FALSE,ai,TRUE,FALSE,,
MF497825.1,TRUE,Parvoviridae,GX06,China,Bamboo rat parvovirus,,non-human,05-Nov-2014,FALSE,FALSE,Rhizomys pruinosus,Mammal,China,FALSE,ai,TRUE,FALSE,,
ON986441.1,TRUE,Lyssavirus,17_5642,"USA: NewHaven,CT",Lyssavirus rabies,,non-human,01-Dec-2017,FALSE,FALSE,Procyon lotor,Mammal,"New Haven, USA",TRUE,ai,TRUE,FALSE,,
NC_002208.1,TRUE,Betainfluenzavirus,B/Lee/1940,,Influenza B virus (B/Lee/1940),,non-human,,FALSE,FALSE,Unknown,Other,"Unknown, Unknown",TRUE,ai,TRUE,TRUE,5,
MT354625.1,TRUE,Orthoflavivirus,B-1/10186,"Russia: Kurgan Region, Chastozersky Locality, Shuchje Lake",Omsk hemorrhagic fever virus,,non-human,1992,FALSE,FALSE,Ondatra zibethicus,Mammal,"Kurgan Region, Russia",TRUE,ai,TRUE,FALSE,,
